Date,Median_Price
04-09-2024,3500
04-09-2024,2800
04-09-2024,2500
04-09-2024,1200
05-09-2024,2800
05-09-2024,500
05-09-2024,500
05-09-2024,600
05-09-2024,600
05-09-2024,600
06-09-2024,600
06-09-2024,600
06-09-2024,600
06-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,600
07-09-2024,600
08-09-2024,600
08-09-2024,600
09-09-2024,600
09-09-2024,600
09-09-2024,600
09-09-2024,600
09-09-2024,600
09-09-2024,700
09-09-2024,800
10-09-2024,700
10-09-2024,800
10-09-2024,1500
10-09-2024,1500
10-09-2024,1800
10-09-2024,600
10-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,700
11-09-2024,600
11-09-2024,600
11-09-2024,600
12-09-2024,600
12-09-2024,700
12-09-2024,700
12-09-2024,600
12-09-2024,600
12-09-2024,600
13-09-2024,700
13-09-2024,800
13-09-2024,700
13-09-2024,500
13-09-2024,500
13-09-2024,600
14-09-2024,600
14-09-2024,600
14-09-2024,600
14-09-2024,600
15-09-2024,600
15-09-2024,700
16-09-2024,700
16-09-2024,700
16-09-2024,700
16-09-2024,700
16-09-2024,800
16-09-2024,800
17-09-2024,800
17-09-2024,800
17-09-2024,800
17-09-2024,800
17-09-2024,1000
17-09-2024,800
18-09-2024,1000
18-09-2024,1000
18-09-2024,1000
18-09-2024,1000
18-09-2024,1000
19-09-2024,1000
19-09-2024,1000
19-09-2024,1000
19-09-2024,1200
19-09-2024,1400
19-09-2024,1200
20-09-2024,2000
20-09-2024,2000
20-09-2024,3000
20-09-2024,4200
20-09-2024,500
21-09-2024,600
21-09-2024,600
21-09-2024,800
21-09-2024,900
21-09-2024,1200
21-09-2024,1600
22-09-2024,2200
22-09-2024,2500
23-09-2024,1500
23-09-2024,1700
23-09-2024,1800
23-09-2024,2200
23-09-2024,2400
23-09-2024,2500
23-09-2024,2800
24-09-2024,2800
24-09-2024,3200
24-09-2024,1500
24-09-2024,1600
24-09-2024,1700
24-09-2024,1800
24-09-2024,1800
24-09-2024,1800
25-09-2024,1800
25-09-2024,1800
25-09-2024,1800
25-09-2024,2000
25-09-2024,2000
25-09-2024,2000
25-09-2024,2000
26-09-2024,2200
26-09-2024,2200
26-09-2024,2200
26-09-2024,2200
26-09-2024,2200
26-09-2024,2200
26-09-2024,2200
26-09-2024,2300
26-09-2024,2200
27-09-2024,2400
27-09-2024,2400
27-09-2024,2500
27-09-2024,2500
27-09-2024,2600
27-09-2024,2600
27-09-2024,2600
27-09-2024,2800
28-09-2024,2800
28-09-2024,2800
28-09-2024,2900
28-09-2024,3000
28-09-2024,3800
28-09-2024,3800
29-09-2024,1300
30-09-2024,1600
30-09-2024,1700
30-09-2024,1800
30-09-2024,1800
30-09-2024,2000
30-09-2024,2400
30-09-2024,2500
30-09-2024,2500
01-10-2024,2700
01-10-2024,2800
01-10-2024,2800
01-10-2024,2800
01-10-2024,3600
02-10-2024,3800
02-10-2024,600
02-10-2024,600
02-10-2024,600
03-10-2024,600
03-10-2024,600
03-10-2024,600
03-10-2024,700
03-10-2024,700
04-10-2024,700
04-10-2024,700
04-10-2024,700
04-10-2024,700
04-10-2024,700
05-10-2024,800
05-10-2024,800
05-10-2024,800
05-10-2024,800
05-10-2024,800
05-10-2024,800
06-10-2024,1000
06-10-2024,800
06-10-2024,800
07-10-2024,1000
07-10-2024,1000
07-10-2024,1000
07-10-2024,1000
07-10-2024,1000
07-10-2024,1000
10-10-2024,1000
10-10-2024,1200
10-10-2024,1200
11-10-2024,1200
11-10-2024,1400
11-10-2024,1800
11-10-2024,1800
