Date,Median_Price
04-09-2024,667
04-09-2024,667
04-09-2024,1000.5
04-09-2024,1200.6
04-09-2024,1200.6
04-09-2024,1067.2
04-09-2024,1334
04-09-2024,1334
05-09-2024,1334
05-09-2024,1467.4
05-09-2024,1467.4
05-09-2024,1467.4
05-09-2024,1667.5
05-09-2024,1734.2
05-09-2024,1800.9
05-09-2024,1800.9
05-09-2024,1867.6
05-09-2024,1867.6
05-09-2024,2001
05-09-2024,2001
05-09-2024,2534.6
05-09-2024,3001.5
06-09-2024,533.6
06-09-2024,733.7
06-09-2024,933.8
06-09-2024,1067.2
06-09-2024,1267.3
06-09-2024,1334
06-09-2024,1467.4
06-09-2024,1800.9
06-09-2024,1800.9
06-09-2024,1867.6
06-09-2024,2001
07-09-2024,1867.6
07-09-2024,1867.6
07-09-2024,2001
07-09-2024,2001
07-09-2024,2001
07-09-2024,2001
07-09-2024,2134.4
07-09-2024,2001
07-09-2024,2668
07-09-2024,3134.9
07-09-2024,3468.4
07-09-2024,600.3
07-09-2024,867.1
08-09-2024,867.1
08-09-2024,1000.5
08-09-2024,1267.3
08-09-2024,1334
08-09-2024,1334
08-09-2024,1734.2
08-09-2024,1800.9
09-09-2024,1867.6
09-09-2024,1867.6
09-09-2024,1867.6
09-09-2024,1867.6
09-09-2024,2001
09-09-2024,2001
09-09-2024,2001
09-09-2024,2067.7
09-09-2024,2001
09-09-2024,2134.4
09-09-2024,2334.5
09-09-2024,2334.5
09-09-2024,2534.6
09-09-2024,3201.6
09-09-2024,3601.8
10-09-2024,667
10-09-2024,867.1
10-09-2024,867.1
10-09-2024,1200.6
10-09-2024,1200.6
10-09-2024,1600.8
10-09-2024,1734.2
10-09-2024,1800.9
10-09-2024,1867.6
10-09-2024,1867.6
10-09-2024,2001
10-09-2024,2001
10-09-2024,2001
11-09-2024,2001
11-09-2024,2201.1
11-09-2024,2668
11-09-2024,2668
11-09-2024,466.9
11-09-2024,533.6
11-09-2024,600.3
11-09-2024,800.4
11-09-2024,833.75
11-09-2024,867.1
11-09-2024,867.1
11-09-2024,900.45
11-09-2024,867.1
12-09-2024,867.1
12-09-2024,1000.5
12-09-2024,1000.5
12-09-2024,1000.5
12-09-2024,1067.2
12-09-2024,1200.6
12-09-2024,1000.5
12-09-2024,1067.2
12-09-2024,1067.2
12-09-2024,1200.6
12-09-2024,1200.6
12-09-2024,1067.2
12-09-2024,1200.6
13-09-2024,1267.3
13-09-2024,1200.6
13-09-2024,1467.4
13-09-2024,1467.4
13-09-2024,1667.5
13-09-2024,1600.8
13-09-2024,1600.8
13-09-2024,1600.8
13-09-2024,1734.2
13-09-2024,1734.2
13-09-2024,1667.5
14-09-2024,1734.2
14-09-2024,1800.9
14-09-2024,1867.6
14-09-2024,1867.6
14-09-2024,1867.6
14-09-2024,1867.6
14-09-2024,2001
14-09-2024,2001
14-09-2024,2001
14-09-2024,1867.6
14-09-2024,2001
15-09-2024,2001
15-09-2024,2001
15-09-2024,2001
15-09-2024,2001
15-09-2024,2001
15-09-2024,1867.6
16-09-2024,2001
16-09-2024,2134.4
16-09-2024,2201.1
16-09-2024,2134.4
16-09-2024,2134.4
16-09-2024,2134.4
16-09-2024,2201.1
16-09-2024,2267.8
16-09-2024,2334.5
16-09-2024,2334.5
16-09-2024,2668
16-09-2024,2668
17-09-2024,3001.5
17-09-2024,3001.5
17-09-2024,3068.2
17-09-2024,3068.2
17-09-2024,1000.5
17-09-2024,1067.2
17-09-2024,1067.2
17-09-2024,1200.6
17-09-2024,1067.2
17-09-2024,1600.8
17-09-2024,1667.5
17-09-2024,1800.9
18-09-2024,1867.6
18-09-2024,2001
18-09-2024,1867.6
18-09-2024,2134.4
18-09-2024,2134.4
18-09-2024,2668
18-09-2024,533.6
18-09-2024,533.6
18-09-2024,533.6
18-09-2024,533.6
18-09-2024,600.3
18-09-2024,600.3
19-09-2024,600.3
19-09-2024,667
19-09-2024,600.3
19-09-2024,667
19-09-2024,667
19-09-2024,667
19-09-2024,600.3
19-09-2024,667
19-09-2024,667
19-09-2024,800.4
19-09-2024,800.4
19-09-2024,800.4
19-09-2024,1000.5
19-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,933.8
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
20-09-2024,1000.5
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1000.5
21-09-2024,1000.5
21-09-2024,1000.5
21-09-2024,1067.2
21-09-2024,1067.2
21-09-2024,1067.2
22-09-2024,1067.2
22-09-2024,1067.2
22-09-2024,1067.2
22-09-2024,1067.2
22-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
23-09-2024,1133.9
