Date,Median_Price
04-09-2024,700
04-09-2024,700
04-09-2024,700
04-09-2024,800
04-09-2024,1000
04-09-2024,1400
04-09-2024,1700
04-09-2024,2000
05-09-2024,2500
05-09-2024,3000
05-09-2024,3200
05-09-2024,3500
05-09-2024,3400
05-09-2024,3800
05-09-2024,3800
05-09-2024,4000
05-09-2024,4200
05-09-2024,4200
05-09-2024,700
05-09-2024,800
05-09-2024,800
05-09-2024,1000
05-09-2024,1200
06-09-2024,1500
06-09-2024,1800
06-09-2024,2000
06-09-2024,2300
06-09-2024,2600
06-09-2024,3000
06-09-2024,3200
06-09-2024,3200
06-09-2024,3200
06-09-2024,3400
06-09-2024,3500
06-09-2024,3600
07-09-2024,4200
07-09-2024,4200
07-09-2024,4200
07-09-2024,4500
07-09-2024,4800
07-09-2024,4800
07-09-2024,800
07-09-2024,800
07-09-2024,800
07-09-2024,1000
07-09-2024,1000
07-09-2024,1200
07-09-2024,1500
07-09-2024,1700
07-09-2024,2000
08-09-2024,2500
08-09-2024,2600
08-09-2024,2700
08-09-2024,3000
08-09-2024,3000
08-09-2024,3200
08-09-2024,3400
08-09-2024,3500
09-09-2024,3500
09-09-2024,4000
09-09-2024,4000
09-09-2024,4500
09-09-2024,4500
09-09-2024,5000
09-09-2024,4800
09-09-2024,1200
09-09-2024,1200
09-09-2024,1500
09-09-2024,1500
09-09-2024,1500
09-09-2024,1700
09-09-2024,2000
09-09-2024,2200
10-09-2024,2700
10-09-2024,3000
10-09-2024,3500
10-09-2024,3800
10-09-2024,4000
10-09-2024,4000
10-09-2024,4500
10-09-2024,4800
10-09-2024,500
10-09-2024,500
10-09-2024,500
10-09-2024,500
10-09-2024,600
10-09-2024,600
11-09-2024,500
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,600
11-09-2024,700
11-09-2024,600
11-09-2024,800
11-09-2024,700
11-09-2024,800
11-09-2024,800
12-09-2024,800
12-09-2024,900
12-09-2024,900
12-09-2024,1000
12-09-2024,1000
12-09-2024,1000
12-09-2024,1200
12-09-2024,1000
12-09-2024,1200
12-09-2024,1400
12-09-2024,1400
12-09-2024,1800
12-09-2024,1800
12-09-2024,1800
12-09-2024,1800
13-09-2024,2200
13-09-2024,2000
13-09-2024,2000
13-09-2024,2400
13-09-2024,2500
13-09-2024,2500
13-09-2024,2500
13-09-2024,2500
13-09-2024,2800
13-09-2024,2800
13-09-2024,3000
13-09-2024,3000
14-09-2024,3000
14-09-2024,3000
14-09-2024,3200
14-09-2024,3000
14-09-2024,3000
14-09-2024,3500
14-09-2024,3000
14-09-2024,3800
14-09-2024,3200
14-09-2024,3600
14-09-2024,3600
14-09-2024,3800
15-09-2024,3500
15-09-2024,3800
15-09-2024,4000
15-09-2024,4000
15-09-2024,4200
15-09-2024,4200
16-09-2024,4500
16-09-2024,500
16-09-2024,400
16-09-2024,500
16-09-2024,800
16-09-2024,900
16-09-2024,1200
16-09-2024,1300
16-09-2024,1700
16-09-2024,2000
16-09-2024,2800
17-09-2024,3200
17-09-2024,3500
17-09-2024,3500
17-09-2024,4500
17-09-2024,500
17-09-2024,500
17-09-2024,500
17-09-2024,500
17-09-2024,500
17-09-2024,500
17-09-2024,500
17-09-2024,500
18-09-2024,500
18-09-2024,500
18-09-2024,500
18-09-2024,500
18-09-2024,500
18-09-2024,600
18-09-2024,600
18-09-2024,600
18-09-2024,600
18-09-2024,600
18-09-2024,600
18-09-2024,600
18-09-2024,600
19-09-2024,600
19-09-2024,600
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,700
19-09-2024,800
19-09-2024,1000
19-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1000
20-09-2024,1100
20-09-2024,1200
20-09-2024,1200
20-09-2024,1200
20-09-2024,1200
20-09-2024,1200
21-09-2024,1200
21-09-2024,1200
21-09-2024,1200
21-09-2024,1200
21-09-2024,1200
21-09-2024,1200
21-09-2024,1400
21-09-2024,1200
21-09-2024,1200
21-09-2024,1300
21-09-2024,1400
22-09-2024,1700
22-09-2024,1600
22-09-2024,1600
22-09-2024,1800
22-09-2024,2000
22-09-2024,2000
23-09-2024,2200
23-09-2024,2200
23-09-2024,2200
23-09-2024,2200
23-09-2024,2200
23-09-2024,2200
23-09-2024,2300
23-09-2024,2400
23-09-2024,2400
23-09-2024,2500
23-09-2024,2500
23-09-2024,2500
23-09-2024,2500
23-09-2024,2500
23-09-2024,2500
24-09-2024,2500
24-09-2024,2500
24-09-2024,2600
24-09-2024,2500
24-09-2024,2600
24-09-2024,2600
24-09-2024,2700
24-09-2024,2700
24-09-2024,2700
24-09-2024,2700
24-09-2024,2800
24-09-2024,2600
24-09-2024,2700
25-09-2024,2700
25-09-2024,2800
25-09-2024,2800
25-09-2024,2800
25-09-2024,2800
25-09-2024,3000
25-09-2024,2800
25-09-2024,2800
25-09-2024,2800
25-09-2024,2800
26-09-2024,2800
26-09-2024,2800
26-09-2024,2800
26-09-2024,2800
26-09-2024,2800
26-09-2024,2800
26-09-2024,3000
26-09-2024,3000
26-09-2024,3000
26-09-2024,2900
26-09-2024,3000
26-09-2024,3000
26-09-2024,3000
26-09-2024,3200
26-09-2024,3000
27-09-2024,3200
27-09-2024,3200
27-09-2024,3200
27-09-2024,3200
27-09-2024,3200
27-09-2024,4000
27-09-2024,3200
27-09-2024,3200
27-09-2024,3300
27-09-2024,3200
27-09-2024,3300
27-09-2024,3400
28-09-2024,3600
28-09-2024,3300
28-09-2024,3400
28-09-2024,3400
28-09-2024,3700
28-09-2024,3500
28-09-2024,3500
28-09-2024,3500
28-09-2024,3600
28-09-2024,3500
29-09-2024,3600
29-09-2024,3700
29-09-2024,3700
29-09-2024,3700
30-09-2024,3600
30-09-2024,3600
30-09-2024,3800
30-09-2024,3800
30-09-2024,3700
30-09-2024,3800
30-09-2024,3600
30-09-2024,3600
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
30-09-2024,3800
01-10-2024,3800
01-10-2024,3800
01-10-2024,3900
01-10-2024,3800
01-10-2024,3800
01-10-2024,3800
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
01-10-2024,4000
02-10-2024,4000
02-10-2024,4000
02-10-2024,4000
02-10-2024,4200
02-10-2024,4400
02-10-2024,4400
02-10-2024,4200
02-10-2024,500
02-10-2024,500
03-10-2024,700
03-10-2024,700
03-10-2024,800
03-10-2024,800
03-10-2024,908
03-10-2024,1000
03-10-2024,1000
03-10-2024,1000
03-10-2024,1200
03-10-2024,1200
03-10-2024,1400
03-10-2024,1200
04-10-2024,1800
04-10-2024,2200
04-10-2024,2300
04-10-2024,2500
04-10-2024,3000
04-10-2024,3000
04-10-2024,2800
04-10-2024,3000
04-10-2024,3000
04-10-2024,3400
04-10-2024,3500
04-10-2024,3500
05-10-2024,4000
05-10-2024,4000
05-10-2024,1800
05-10-2024,400
05-10-2024,400
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,500
05-10-2024,600
05-10-2024,600
06-10-2024,700
06-10-2024,800
06-10-2024,800
06-10-2024,800
06-10-2024,1200
06-10-2024,1400
06-10-2024,1400
06-10-2024,1400
06-10-2024,1500
07-10-2024,1800
07-10-2024,2400
07-10-2024,2600
07-10-2024,2800
07-10-2024,3200
07-10-2024,3400
07-10-2024,3500
07-10-2024,3600
07-10-2024,3600
07-10-2024,4000
07-10-2024,4000
07-10-2024,4200
07-10-2024,4200
10-10-2024,4400
10-10-2024,4700
10-10-2024,5400
10-10-2024,4800
10-10-2024,4800
10-10-2024,5000
10-10-2024,5200
10-10-2024,600
11-10-2024,600
