Date_Hour,Temperature,Humidity,Wind_Speed,Precipitation,Condition,City
01-04-2024 00:00,21.9,85,14,0,Clear,
01-04-2024 01:00,21.2,88,11.2,0,Partly cloudy,
01-04-2024 02:00,20.5,90,9.4,0,Partly cloudy,
01-04-2024 03:00,19.9,91,9,0,Partly cloudy,
01-04-2024 04:00,19.6,92,7.9,0,Partly cloudy,
01-04-2024 05:00,19.8,90,7.9,0,Partly cloudy,
01-04-2024 06:00,20.9,83,10.1,0,Cloudy,
01-04-2024 07:00,23,74,9.4,0,Partly cloudy,
01-04-2024 08:00,25.6,64,9,0,Sunny,
01-04-2024 09:00,28,55,9,0,Sunny,
01-04-2024 10:00,29.8,49,7.6,0,Sunny,
01-04-2024 11:00,31.8,43,7.2,0,Sunny,
01-04-2024 12:00,32.9,37,10.1,0,Sunny,
01-04-2024 13:00,34.2,34,16.9,0,Sunny,
01-04-2024 14:00,35.2,30,19.1,0,Sunny,
01-04-2024 15:00,35.8,25,15.1,0,Sunny,
01-04-2024 16:00,35.5,23,12.2,0,Sunny,
01-04-2024 17:00,31.7,30,2.2,0,Sunny,
01-04-2024 18:00,29.1,37,4.3,0,Clear,
01-04-2024 19:00,28.1,41,5.8,0,Clear,
01-04-2024 20:00,26.5,51,10.1,0,Clear,
01-04-2024 21:00,25.4,60,10.4,0,Clear,
01-04-2024 22:00,24.5,64,13.7,0,Clear,
01-04-2024 23:00,23.4,67,12.6,0,Clear,
02-04-2024 00:00,22.4,68,12.6,0,Clear,
02-04-2024 01:00,21.2,70,10.1,0,Clear,
02-04-2024 02:00,20.5,71,8.3,0,Clear,
02-04-2024 03:00,20.1,73,7.6,0,Clear,
02-04-2024 04:00,19.8,74,6.1,0,Clear,
02-04-2024 05:00,19.7,75,6.1,0,Clear,
02-04-2024 06:00,21.4,69,8.6,0,Sunny,
02-04-2024 07:00,23.8,61,9.7,0,Sunny,
02-04-2024 08:00,26.2,53,9.7,0,Sunny,
02-04-2024 09:00,28.4,46,8.3,0,Sunny,
02-04-2024 10:00,30.3,40,6.5,0,Sunny,
02-04-2024 11:00,32,34,6.1,0,Sunny,
02-04-2024 12:00,32.8,32,9,0,Sunny,
02-04-2024 13:00,33.4,30,10.1,0,Sunny,
02-04-2024 14:00,33.9,29,12.2,0,Partly cloudy,
02-04-2024 15:00,32.5,33,7.2,0,Partly cloudy,
02-04-2024 16:00,32.2,35,5,0,Partly cloudy,
02-04-2024 17:00,31.3,37,2.9,0.11,Patchy rain possible,
02-04-2024 18:00,29.4,41,2.5,0,Clear,
02-04-2024 19:00,28.4,42,3.6,0,Clear,
02-04-2024 20:00,27.5,44,5.4,0,Clear,
02-04-2024 21:00,26.6,47,5.8,0,Clear,
02-04-2024 22:00,25.8,49,5,0,Clear,
02-04-2024 23:00,23.9,53,8.3,0,Clear,
03-04-2024 00:00,22.5,48,5.8,0,Clear,
03-04-2024 01:00,21.9,52,5.4,0,Clear,
03-04-2024 02:00,21.5,54,6.8,0,Clear,
03-04-2024 03:00,21.3,56,8.6,0,Clear,
03-04-2024 04:00,21,58,10.8,0,Clear,
03-04-2024 05:00,20.7,60,10.8,0,Clear,
03-04-2024 06:00,22.4,56,11.5,0,Sunny,
03-04-2024 07:00,24.8,49,12.2,0,Sunny,
03-04-2024 08:00,27.4,42,11.5,0,Sunny,
03-04-2024 09:00,29.7,37,10.1,0,Sunny,
03-04-2024 10:00,31.5,32,10.1,0,Sunny,
03-04-2024 11:00,33,28,7.9,0,Sunny,
03-04-2024 12:00,34,26,5.4,0,Sunny,
03-04-2024 13:00,34.5,24,7.9,0,Sunny,
03-04-2024 14:00,34.6,24,10.1,0,Sunny,
03-04-2024 15:00,34.6,26,10.8,0,Partly cloudy,
03-04-2024 16:00,34.4,28,10.4,0,Partly cloudy,
03-04-2024 17:00,31.9,34,4.3,0,Partly cloudy,
03-04-2024 18:00,30.5,37,1.4,0,Partly cloudy,
03-04-2024 19:00,29.1,41,3.2,0,Clear,
03-04-2024 20:00,27.7,44,6.5,0,Clear,
03-04-2024 21:00,27,45,5,0.02,Patchy rain possible,
03-04-2024 22:00,26.5,45,5,0,Clear,
03-04-2024 23:00,25.3,47,5.4,0,Clear,
04-04-2024 00:00,22.7,49,6.8,0,Clear,
04-04-2024 01:00,22.1,51,6.1,0,Clear,
04-04-2024 02:00,21.5,52,5.4,0,Clear,
04-04-2024 03:00,21,53,5.4,0,Clear,
04-04-2024 04:00,20.7,56,6.5,0,Clear,
04-04-2024 05:00,20.5,58,6.5,0,Clear,
04-04-2024 06:00,22.6,53,6.8,0,Sunny,
04-04-2024 07:00,25.4,46,9.4,0,Sunny,
04-04-2024 08:00,27.8,40,10.8,0,Sunny,
04-04-2024 09:00,29.8,36,10.1,0,Sunny,
04-04-2024 10:00,31.4,32,9,0,Sunny,
04-04-2024 11:00,32.5,29,8.3,0,Sunny,
04-04-2024 12:00,33.5,28,5.8,0,Sunny,
04-04-2024 13:00,33.7,28,8.3,0,Sunny,
04-04-2024 14:00,33.8,29,12.6,0,Sunny,
04-04-2024 15:00,33.5,30,11.9,0,Partly cloudy,
04-04-2024 16:00,32.6,35,3.6,0.71,Patchy rain possible,
04-04-2024 17:00,30.6,42,1.1,0.16,Patchy rain possible,
04-04-2024 18:00,28.7,47,4,0,Clear,
04-04-2024 19:00,27.6,52,5.4,0,Clear,
04-04-2024 20:00,27,54,4.7,0,Clear,
04-04-2024 21:00,26.3,55,5.8,0,Clear,
04-04-2024 22:00,25.4,57,7.2,0,Clear,
04-04-2024 23:00,24,57,7.2,0,Clear,
05-04-2024 00:00,23.2,50,10.4,0,Clear,
05-04-2024 01:00,22.6,52,10.4,0,Clear,
05-04-2024 02:00,22,54,9,0,Clear,
05-04-2024 03:00,21.5,57,7.2,0,Clear,
05-04-2024 04:00,21.1,58,7.2,0,Clear,
05-04-2024 05:00,20.9,60,8.3,0,Clear,
05-04-2024 06:00,23.2,54,11.5,0,Sunny,
05-04-2024 07:00,26,46,12.2,0,Sunny,
05-04-2024 08:00,28.7,39,13,0,Sunny,
05-04-2024 09:00,31,34,13.7,0,Sunny,
05-04-2024 10:00,32.9,29,13.3,0,Sunny,
05-04-2024 11:00,34.2,26,10.8,0,Sunny,
05-04-2024 12:00,35,25,8.3,0,Sunny,
05-04-2024 13:00,35.9,23,6.1,0,Sunny,
05-04-2024 14:00,35.9,23,7.6,0.37,Patchy rain possible,
05-04-2024 15:00,33.3,34,7.6,0,Sunny,
05-04-2024 16:00,31.5,43,17.6,0,Sunny,
05-04-2024 17:00,28.8,52,13.7,0,Sunny,
05-04-2024 18:00,28.1,55,11.5,0,Clear,
05-04-2024 19:00,27.3,58,4.7,0.68,Patchy rain possible,
05-04-2024 20:00,26.3,64,6.1,1.3,Patchy rain possible,
05-04-2024 21:00,25.2,70,6.8,0.07,Patchy rain possible,
05-04-2024 22:00,24.4,73,9,0,Clear,
05-04-2024 23:00,23.5,72,9,0,Clear,
06-04-2024 00:00,24.2,57,4.7,0,Clear,
06-04-2024 01:00,23.7,58,5.4,0,Clear,
06-04-2024 02:00,23.1,60,7.2,0,Clear,
06-04-2024 03:00,22.6,62,8.3,0,Clear,
06-04-2024 04:00,22.2,63,8.6,0,Clear,
06-04-2024 05:00,22,64,8.3,0,Clear,
06-04-2024 06:00,24.1,56,8.6,0,Sunny,
06-04-2024 07:00,26.9,48,10.1,0,Sunny,
06-04-2024 08:00,29.3,41,11.2,0,Sunny,
06-04-2024 09:00,31.3,36,10.8,0,Sunny,
06-04-2024 10:00,33.1,32,8.6,0,Sunny,
06-04-2024 11:00,34.2,29,6.5,0,Sunny,
06-04-2024 12:00,35.2,27,7.6,0,Sunny,
06-04-2024 13:00,35.8,26,11.9,0,Sunny,
06-04-2024 14:00,36.2,26,14.4,0,Sunny,
06-04-2024 15:00,37,24,18,0,Sunny,
06-04-2024 16:00,36.5,24,19.4,0,Sunny,
06-04-2024 17:00,32.3,35,9.4,0.12,Patchy rain possible,
06-04-2024 18:00,29.1,44,6.5,0.01,Patchy rain possible,
06-04-2024 19:00,27.9,50,6.1,0.09,Patchy rain possible,
06-04-2024 20:00,27.7,52,5.4,0,Clear,
06-04-2024 21:00,27.2,52,6.8,0,Clear,
06-04-2024 22:00,26.4,54,8.3,0,Clear,
06-04-2024 23:00,25.4,54,10.1,0,Clear,
07-04-2024 00:00,24.6,53,8.6,0,Clear,
07-04-2024 01:00,24,56,7.6,0,Clear,
07-04-2024 02:00,23.6,57,7.9,0,Clear,
07-04-2024 03:00,23.4,59,7.6,0,Clear,
07-04-2024 04:00,22.9,62,6.5,0,Partly cloudy,
07-04-2024 05:00,23.4,60,6.8,0,Partly cloudy,
07-04-2024 06:00,25.1,55,7.9,0,Sunny,
07-04-2024 07:00,27.8,48,6.5,0,Sunny,
07-04-2024 08:00,30.2,41,6.5,0,Sunny,
07-04-2024 09:00,32.7,34,7.2,0,Sunny,
07-04-2024 10:00,35.1,27,7.6,0,Sunny,
07-04-2024 11:00,36.7,23,10.4,0,Partly cloudy,
07-04-2024 12:00,38.4,19,13.7,0,Partly cloudy,
07-04-2024 13:00,39,16,20.9,0,Sunny,
07-04-2024 14:00,40.1,13,30.2,0,Sunny,
07-04-2024 15:00,39,14,28.1,0,Sunny,
07-04-2024 16:00,37.3,17,23.4,0,Sunny,
07-04-2024 17:00,34.8,20,19.4,0,Sunny,
